Education_Level,Experience,Projects,Skills,Certifications,Domain,Job Role,Courses,Keywords,Technologies
Master,5+ years,"Customer Service, HR Management, Accounting","Accounting, Salesforce, Excel, Customer Support, Communication",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Customer Service, HR Management, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Master,5+ years,"Operations, Market Research, Sales Strategy","Excel, Customer Support, Salesforce, Accounting, Team Management","Customer Service Expert, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Market Research, Salesforce, Excel, Accounting, Operations, Team Management","Salesforce, Excel"
Bachelor,3-5 years,"Market Research, Operations, Customer Service","Excel, Customer Support, Accounting, Communication, Team Management","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Market Research, Excel, Accounting, Communication, Operations, Team Management",Excel
Bachelor,5+ years,"Operations, Market Research","Salesforce, Communication, Customer Support","Excel Advanced, Customer Service Expert",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Customer Support, Market Research, Salesforce, Communication, Operations",Salesforce
Bachelor,0-1 years,Accounting,"Customer Support, Salesforce, Accounting","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Salesforce, Accounting",Salesforce
Master,0-1 years,Customer Service,"Excel, Communication, Customer Support, Salesforce","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Salesforce, Excel, Communication","Salesforce, Excel"
Master,1-3 years,Sales Strategy,"Accounting, Team Management, Communication, Salesforce",Customer Service Expert,Non-IT,Business Analyst,Customer Service Training,"Sales Strategy, Salesforce, Accounting, Communication, Team Management",Salesforce
Bachelor,1-3 years,Customer Service,"Communication, Customer Support, Salesforce",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Support, Salesforce, Customer Service, Communication",Salesforce
Bachelor,0-1 years,"Market Research, HR Management","Customer Support, Salesforce, Team Management, Accounting","Excel Advanced, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, HR Management, Market Research, Salesforce, Accounting, Team Management",Salesforce
Master,1-3 years,Customer Service,"Customer Support, Excel, Accounting, Team Management, Salesforce",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Master,3-5 years,"Market Research, Sales Strategy","Excel, Communication, Salesforce",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Sales Strategy, Market Research, Salesforce, Excel, Communication","Salesforce, Excel"
Bachelor,1-3 years,Accounting,"Customer Support, Salesforce, Excel, Team Management, Accounting","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
Master,3-5 years,"Customer Service, Market Research, Sales Strategy","Excel, Team Management, Salesforce, Accounting, Customer Support","Excel Advanced, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Customer Service, Market Research, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
PhD,3-5 years,"Accounting, Operations","Accounting, Communication, Excel",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Operations, Excel, Accounting, Communication",Excel
Bachelor,0-1 years,"Market Research, Customer Service, Sales Strategy","Team Management, Communication, Excel","Salesforce Certified, Customer Service Expert",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Sales Strategy, Customer Service, Market Research, Excel, Communication, Team Management",Excel
Bachelor,0-1 years,"Operations, Sales Strategy, Customer Service","Excel, Communication, Accounting, Customer Support, Salesforce","Salesforce Certified, Customer Service Expert",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Customer Service, Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
Master,5+ years,"Accounting, Sales Strategy, Operations","Excel, Customer Support, Salesforce",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Sales Strategy, Salesforce, Excel, Accounting, Operations","Salesforce, Excel"
PhD,5+ years,HR Management,"Accounting, Customer Support, Communication, Excel","Excel Advanced, Customer Service Expert",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, HR Management, Excel, Accounting, Communication",Excel
PhD,1-3 years,"HR Management, Customer Service","Salesforce, Customer Support, Excel","Salesforce Certified, Excel Advanced",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Customer Service, HR Management, Salesforce, Excel","Salesforce, Excel"
Master,3-5 years,"HR Management, Market Research","Team Management, Accounting, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Market Research Analyst,"Advanced Excel Course, Customer Service Training","Market Research, HR Management, Salesforce, Accounting, Team Management",Salesforce
Master,5+ years,"Accounting, Sales Strategy","Excel, Accounting, Customer Support, Team Management, Communication",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Sales Strategy, Excel, Accounting, Communication, Team Management",Excel
Master,5+ years,"Market Research, Customer Service, Accounting","Excel, Accounting, Communication, Customer Support, Salesforce","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Customer Service, Market Research, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
PhD,3-5 years,"HR Management, Sales Strategy","Salesforce, Excel, Accounting, Customer Support, Team Management",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"Customer Support, Sales Strategy, HR Management, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
PhD,5+ years,"Accounting, Customer Service","Salesforce, Accounting, Communication","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Salesforce, Accounting, Customer Service, Communication",Salesforce
PhD,1-3 years,"Operations, Accounting, Customer Service","Communication, Excel, Accounting, Customer Support","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Customer Service, Excel, Accounting, Communication, Operations",Excel
Master,0-1 years,Accounting,"Team Management, Salesforce, Excel","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Salesforce, Accounting, Team Management, Excel","Salesforce, Excel"
Bachelor,1-3 years,"Sales Strategy, HR Management","Team Management, Communication, Excel, Accounting, Salesforce","Excel Advanced, Salesforce Certified",Non-IT,Business Analyst,"Salesforce Training, Advanced Excel Course","Sales Strategy, HR Management, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
Bachelor,5+ years,"Accounting, Market Research","Accounting, Communication, Excel, Customer Support, Salesforce","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Market Research, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Bachelor,3-5 years,Sales Strategy,"Customer Support, Communication, Accounting","Salesforce Certified, Excel Advanced",Non-IT,Business Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Communication, Accounting",
Master,0-1 years,"Sales Strategy, Accounting, HR Management","Salesforce, Excel, Customer Support, Communication, Team Management","Excel Advanced, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, HR Management, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
PhD,0-1 years,HR Management,"Customer Support, Communication, Excel, Salesforce, Accounting","Salesforce Certified, Customer Service Expert",Non-IT,Business Analyst,"Salesforce Training, Customer Service Training","Customer Support, HR Management, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
PhD,5+ years,"Sales Strategy, Market Research, Operations","Team Management, Communication, Salesforce, Customer Support","Salesforce Certified, Customer Service Expert",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Market Research, Salesforce, Communication, Operations, Team Management",Salesforce
Master,3-5 years,Market Research,"Customer Support, Excel, Accounting, Salesforce",Customer Service Expert,Non-IT,Market Research Analyst,Customer Service Training,"Customer Support, Market Research, Salesforce, Excel, Accounting","Salesforce, Excel"
PhD,5+ years,"HR Management, Market Research","Accounting, Team Management, Communication",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Market Research, HR Management, Accounting, Communication, Team Management",
PhD,3-5 years,Accounting,"Salesforce, Team Management, Customer Support, Accounting",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Salesforce, Accounting, Team Management",Salesforce
Master,0-1 years,Operations,"Salesforce, Customer Support, Excel","Salesforce Certified, Excel Advanced",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Operations, Salesforce, Excel, Customer Support","Salesforce, Excel"
Master,1-3 years,"HR Management, Operations","Communication, Excel, Team Management, Accounting","Excel Advanced, Customer Service Expert",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","HR Management, Excel, Accounting, Communication, Operations, Team Management",Excel
Bachelor,1-3 years,Market Research,"Salesforce, Accounting, Team Management","Excel Advanced, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Salesforce, Accounting, Team Management, Market Research",Salesforce
Bachelor,5+ years,"Market Research, Accounting","Excel, Communication, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Market Research, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
PhD,1-3 years,"Operations, HR Management","Accounting, Team Management, Customer Support","Salesforce Certified, Excel Advanced",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Customer Support, HR Management, Accounting, Operations, Team Management",
PhD,1-3 years,Operations,"Excel, Team Management, Communication, Salesforce",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Salesforce, Excel, Communication, Operations, Team Management","Salesforce, Excel"
Master,3-5 years,"Accounting, Customer Service","Accounting, Communication, Excel, Customer Support",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Customer Service, Excel, Accounting, Communication",Excel
Master,1-3 years,"Accounting, Market Research","Accounting, Team Management, Customer Support","Excel Advanced, Customer Service Expert",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Accounting, Team Management, Market Research",
Master,0-1 years,"Operations, Customer Service, HR Management","Team Management, Salesforce, Accounting",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Service, HR Management, Salesforce, Accounting, Operations, Team Management",Salesforce
Master,1-3 years,"Accounting, Operations, Market Research","Salesforce, Accounting, Excel",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Market Research, Salesforce, Accounting, Excel, Operations","Salesforce, Excel"
PhD,1-3 years,"Accounting, Sales Strategy, Market Research","Team Management, Salesforce, Customer Support, Excel","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Market Research, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
PhD,1-3 years,"Sales Strategy, Accounting, Market Research","Salesforce, Excel, Accounting, Team Management, Communication",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Sales Strategy, Market Research, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
Bachelor,0-1 years,Customer Service,"Customer Support, Team Management, Excel, Salesforce, Accounting",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Customer Service, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
PhD,1-3 years,Accounting,"Customer Support, Communication, Team Management, Excel",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Excel, Accounting, Communication, Team Management",Excel
Master,0-1 years,HR Management,"Excel, Team Management, Customer Support, Accounting","Customer Service Expert, Excel Advanced",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, HR Management, Excel, Accounting, Team Management",Excel
PhD,5+ years,"Accounting, Sales Strategy, Market Research","Salesforce, Customer Support, Accounting, Excel, Team Management",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Sales Strategy, Market Research, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
PhD,5+ years,Accounting,"Accounting, Customer Support, Salesforce",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Salesforce, Accounting",Salesforce
PhD,3-5 years,"Market Research, Customer Service, Accounting","Customer Support, Team Management, Salesforce, Communication","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Market Research, Salesforce, Accounting, Communication, Team Management",Salesforce
Master,0-1 years,"HR Management, Sales Strategy","Accounting, Customer Support, Salesforce",Customer Service Expert,Non-IT,Business Analyst,Customer Service Training,"Customer Support, Sales Strategy, HR Management, Salesforce, Accounting",Salesforce
Master,0-1 years,Sales Strategy,"Salesforce, Accounting, Team Management, Customer Support","Excel Advanced, Customer Service Expert",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Salesforce, Accounting, Team Management",Salesforce
PhD,0-1 years,"Sales Strategy, Operations","Salesforce, Communication, Customer Support, Team Management",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Sales Strategy, Salesforce, Communication, Operations, Team Management",Salesforce
PhD,1-3 years,Customer Service,"Communication, Excel, Team Management, Customer Support",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Support, Customer Service, Excel, Communication, Team Management",Excel
Master,1-3 years,HR Management,"Excel, Team Management, Communication",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"Excel, Team Management, HR Management, Communication",Excel
Master,1-3 years,"Accounting, Operations, Sales Strategy","Team Management, Salesforce, Communication, Customer Support","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
PhD,5+ years,"Operations, HR Management, Accounting","Customer Support, Accounting, Communication","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, HR Management, Accounting, Communication, Operations",
PhD,1-3 years,Operations,"Accounting, Excel, Salesforce","Excel Advanced, Customer Service Expert",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Operations, Excel, Accounting, Salesforce","Excel, Salesforce"
PhD,0-1 years,"Operations, Market Research","Salesforce, Accounting, Team Management, Customer Support, Communication",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Customer Support, Market Research, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
Master,1-3 years,"Sales Strategy, HR Management","Team Management, Accounting, Excel, Customer Support","Excel Advanced, Customer Service Expert",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, HR Management, Excel, Accounting, Team Management",Excel
PhD,0-1 years,"Accounting, HR Management, Customer Service","Customer Support, Excel, Salesforce, Accounting, Team Management","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, HR Management, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Bachelor,3-5 years,"HR Management, Accounting","Accounting, Communication, Team Management, Excel",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"HR Management, Excel, Accounting, Communication, Team Management",Excel
PhD,1-3 years,"Operations, Customer Service, HR Management","Salesforce, Communication, Excel",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Service, HR Management, Salesforce, Excel, Communication, Operations","Salesforce, Excel"
Bachelor,0-1 years,"Operations, Customer Service","Team Management, Customer Support, Excel","Salesforce Certified, Excel Advanced",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Customer Service, Excel, Operations, Team Management",Excel
Bachelor,0-1 years,Market Research,"Excel, Communication, Team Management, Salesforce, Customer Support",Customer Service Expert,Non-IT,Market Research Analyst,Customer Service Training,"Customer Support, Market Research, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Bachelor,3-5 years,"Customer Service, Market Research, Sales Strategy","Team Management, Accounting, Communication, Excel","Salesforce Certified, Excel Advanced",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Sales Strategy, Customer Service, Market Research, Accounting, Excel, Communication, Team Management",Excel
Master,1-3 years,"Market Research, Accounting, Customer Service","Customer Support, Communication, Excel, Accounting",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Customer Service, Market Research, Accounting, Excel, Communication",Excel
PhD,5+ years,Operations,"Accounting, Communication, Salesforce",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Operations, Salesforce, Accounting, Communication",Salesforce
PhD,1-3 years,"Market Research, Customer Service","Excel, Customer Support, Salesforce, Communication","Excel Advanced, Customer Service Expert",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Market Research, Salesforce, Excel, Communication","Salesforce, Excel"
Master,5+ years,"Accounting, Market Research","Excel, Team Management, Communication, Customer Support, Salesforce",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Market Research, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
Master,1-3 years,Customer Service,"Team Management, Accounting, Excel, Communication, Customer Support",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, Excel, Accounting, Communication, Team Management",Excel
PhD,3-5 years,"HR Management, Operations, Accounting","Accounting, Communication, Team Management, Customer Support, Excel","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, HR Management, Accounting, Excel, Communication, Operations, Team Management",Excel
PhD,0-1 years,"Sales Strategy, HR Management","Team Management, Customer Support, Excel","Customer Service Expert, Excel Advanced",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, HR Management, Excel, Team Management",Excel
Bachelor,5+ years,"Market Research, Operations","Team Management, Customer Support, Accounting",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Customer Support, Market Research, Accounting, Operations, Team Management",
Master,1-3 years,Customer Service,"Excel, Communication, Team Management",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Excel, Customer Service, Team Management, Communication",Excel
PhD,5+ years,"Sales Strategy, Market Research, Customer Service","Communication, Salesforce, Customer Support","Excel Advanced, Customer Service Expert",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Customer Service, Market Research, Salesforce, Communication",Salesforce
Bachelor,3-5 years,"Customer Service, Market Research, Accounting","Team Management, Communication, Accounting, Customer Support, Excel","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Market Research, Accounting, Excel, Communication, Team Management",Excel
Master,1-3 years,"Market Research, Operations, Accounting","Team Management, Customer Support, Salesforce, Accounting, Communication","Excel Advanced, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Market Research, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
PhD,0-1 years,"Accounting, Sales Strategy, HR Management","Accounting, Team Management, Excel, Customer Support, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, HR Management, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Bachelor,5+ years,Operations,"Excel, Accounting, Communication","Excel Advanced, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Operations, Excel, Accounting, Communication",Excel
PhD,0-1 years,"Customer Service, HR Management, Market Research","Customer Support, Accounting, Communication, Team Management",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Customer Service, Market Research, HR Management, Accounting, Communication, Team Management",
PhD,3-5 years,"Accounting, HR Management","Accounting, Communication, Salesforce, Excel","Excel Advanced, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","HR Management, Salesforce, Accounting, Excel, Communication","Salesforce, Excel"
Master,5+ years,Customer Service,"Salesforce, Team Management, Excel","Excel Advanced, Customer Service Expert",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Salesforce, Customer Service, Team Management, Excel","Salesforce, Excel"
Bachelor,0-1 years,"Customer Service, Operations","Excel, Accounting, Team Management, Salesforce",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Service, Salesforce, Excel, Accounting, Operations, Team Management","Salesforce, Excel"
Bachelor,3-5 years,Sales Strategy,"Communication, Excel, Customer Support, Salesforce, Accounting","Customer Service Expert, Excel Advanced",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Bachelor,0-1 years,Sales Strategy,"Excel, Customer Support, Communication",Excel Advanced,Non-IT,Business Analyst,Advanced Excel Course,"Customer Support, Excel, Sales Strategy, Communication",Excel
Master,1-3 years,"Market Research, Sales Strategy, Operations","Accounting, Salesforce, Customer Support",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Sales Strategy, Market Research, Salesforce, Accounting, Operations",Salesforce
Master,1-3 years,Customer Service,"Excel, Communication, Salesforce","Salesforce Certified, Excel Advanced",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Excel, Customer Service, Salesforce, Communication","Excel, Salesforce"
PhD,5+ years,"Sales Strategy, Operations","Excel, Salesforce, Accounting",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Sales Strategy, Salesforce, Excel, Accounting, Operations","Salesforce, Excel"
PhD,5+ years,"Market Research, Accounting, HR Management","Salesforce, Team Management, Customer Support, Accounting",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, HR Management, Market Research, Salesforce, Accounting, Team Management",Salesforce
Bachelor,0-1 years,HR Management,"Excel, Accounting, Customer Support, Communication, Team Management","Excel Advanced, Customer Service Expert",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, HR Management, Excel, Accounting, Communication, Team Management",Excel
PhD,0-1 years,"Sales Strategy, Operations","Excel, Salesforce, Team Management","Excel Advanced, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Sales Strategy, Salesforce, Excel, Operations, Team Management","Salesforce, Excel"
Bachelor,3-5 years,"Accounting, Market Research","Communication, Team Management, Salesforce, Excel, Customer Support",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Market Research, Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
PhD,5+ years,"Market Research, Sales Strategy","Communication, Excel, Salesforce, Customer Support","Customer Service Expert, Excel Advanced",Non-IT,Market Research Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Market Research, Salesforce, Excel, Communication","Salesforce, Excel"
PhD,0-1 years,"Sales Strategy, Market Research","Customer Support, Communication, Excel",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Customer Support, Sales Strategy, Market Research, Excel, Communication",Excel
PhD,1-3 years,"Accounting, HR Management","Communication, Excel, Salesforce, Customer Support",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, HR Management, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Bachelor,0-1 years,Operations,"Excel, Communication, Team Management",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Operations, Excel, Team Management, Communication",Excel
Master,0-1 years,Market Research,"Excel, Customer Support, Communication, Team Management",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Customer Support, Market Research, Excel, Communication, Team Management",Excel
Master,1-3 years,"Customer Service, Accounting","Communication, Excel, Salesforce, Team Management",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Service, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
Bachelor,3-5 years,Customer Service,"Customer Support, Accounting, Team Management, Communication","Salesforce Certified, Customer Service Expert",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Accounting, Communication, Team Management",
Master,0-1 years,"HR Management, Operations, Sales Strategy","Communication, Salesforce, Excel, Team Management",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Sales Strategy, HR Management, Salesforce, Excel, Communication, Operations, Team Management","Salesforce, Excel"
PhD,0-1 years,"Customer Service, Operations, Sales Strategy","Communication, Excel, Accounting","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Service, Sales Strategy, Excel, Accounting, Communication, Operations",Excel
Bachelor,0-1 years,Accounting,"Salesforce, Accounting, Team Management, Excel, Customer Support","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
Bachelor,0-1 years,"Market Research, Customer Service, Accounting","Accounting, Excel, Customer Support",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Customer Service, Market Research, Excel, Accounting",Excel
Master,3-5 years,"Customer Service, Sales Strategy","Customer Support, Accounting, Communication, Excel, Salesforce",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Sales Strategy, Customer Service, Salesforce, Accounting, Excel, Communication","Salesforce, Excel"
Bachelor,0-1 years,HR Management,"Excel, Accounting, Customer Support, Salesforce, Communication",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"Customer Support, HR Management, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Bachelor,5+ years,"Customer Service, Market Research, Sales Strategy","Communication, Customer Support, Excel, Salesforce",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Sales Strategy, Customer Service, Market Research, Salesforce, Excel, Communication","Salesforce, Excel"
PhD,1-3 years,"Customer Service, Sales Strategy","Communication, Salesforce, Accounting","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Sales Strategy, Customer Service, Salesforce, Accounting, Communication",Salesforce
PhD,1-3 years,Accounting,"Team Management, Accounting, Salesforce, Communication, Customer Support",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Salesforce, Accounting, Communication, Team Management",Salesforce
PhD,5+ years,"HR Management, Customer Service","Communication, Accounting, Excel, Team Management, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Service, HR Management, Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
PhD,0-1 years,Accounting,"Customer Support, Excel, Team Management, Salesforce, Accounting","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Bachelor,0-1 years,"HR Management, Operations, Customer Service","Customer Support, Accounting, Team Management",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Customer Service, HR Management, Accounting, Operations, Team Management",
Master,5+ years,Customer Service,"Customer Support, Communication, Excel",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Excel, Customer Service, Communication",Excel
Bachelor,5+ years,"Market Research, Accounting","Customer Support, Salesforce, Excel, Team Management",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Market Research, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
Bachelor,5+ years,"Market Research, Customer Service, HR Management","Customer Support, Communication, Excel, Accounting, Salesforce",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, HR Management, Market Research, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
